filename,width,height,x_1,y_1,x_2,y_2
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000000.jpg,512,512,329.5,375.5,77.0,52.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000001.jpg,512,512,394.5,245.5,41.0,78.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000002.jpg,512,512,366.5,267.5,39.0,50.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000003.jpg,512,512,78.5,163.5,99.0,74.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000004.jpg,512,512,262.5,88.5,57.0,30.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000005.jpg,512,512,32.5,211.5,83.0,33.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000006.jpg,512,512,212.5,119.5,101.0,83.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000007.jpg,512,512,340.5,259.5,92.0,53.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000008.jpg,512,512,73.5,306.5,49.0,45.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000009.jpg,512,512,258.5,206.5,130.0,57.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000010.jpg,512,512,281.5,102.5,104.0,167.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000011.jpg,512,512,414.5,256.5,59.0,60.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000012.jpg,512,512,34.5,125.5,81.0,42.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000013.jpg,512,512,352.5,65.5,71.0,84.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000014.jpg,512,512,65.5,114.5,130.0,142.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000015.jpg,512,512,453.5,85.5,33.0,59.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000016.jpg,512,512,147.5,181.5,76.0,43.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000017.jpg,512,512,379.5,347.5,66.0,90.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000018.jpg,512,512,195.5,147.5,91.0,49.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000019.jpg,512,512,302.5,267.5,76.0,83.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000020.jpg,512,512,295.5,172.5,63.0,47.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000021.jpg,512,512,354.5,32.5,79.0,138.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000022.jpg,512,512,240.5,143.5,62.0,22.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000023.jpg,512,512,196.5,121.5,67.0,38.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000024.jpg,512,512,104.5,122.5,145.0,75.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000025.jpg,512,512,196.5,391.5,25.0,64.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000026.jpg,512,512,354.5,55.5,119.0,29.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000027.jpg,512,512,126.5,259.5,52.0,35.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000028.jpg,512,512,19.5,126.5,76.0,79.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000029.jpg,512,512,122.5,183.5,71.0,42.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000030.jpg,512,512,83.5,174.5,63.0,30.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000031.jpg,512,512,317.5,324.5,24.0,84.0
