image_path,mask_path
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000000.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000000.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000001.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000001.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000002.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000002.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000003.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000003.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000004.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000004.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000005.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000005.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000006.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000006.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000007.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000007.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000008.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000008.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000009.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000009.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000010.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000010.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000011.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000011.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000012.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000012.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000013.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000013.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000014.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000014.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000015.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000015.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000016.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000016.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000017.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000017.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000018.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000018.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000019.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000019.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000020.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000020.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000021.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000021.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000022.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000022.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000023.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000023.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000024.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000024.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000025.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000025.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000026.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000026.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000027.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000027.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000028.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000028.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000029.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000029.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000030.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000030.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000031.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000031.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000032.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000032.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000033.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000033.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000034.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000034.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000035.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000035.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000036.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000036.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000037.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000037.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000038.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000038.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000039.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000039.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000040.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000040.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000041.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000041.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000042.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000042.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000043.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000043.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000044.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000044.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000045.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000045.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000046.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000046.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000047.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000047.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000048.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000048.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000049.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000049.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000050.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000050.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000051.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000051.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000052.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000052.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000053.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000053.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000054.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000054.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000055.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000055.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000056.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000056.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000057.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000057.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000058.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000058.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000059.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000059.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000060.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000060.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000061.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000061.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000062.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000062.png
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images\00000063.jpg,D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\masks\mask_000063.png
